Sex,Males,,,,Females,,,
Geography,2000 to 2002,2005 to 2007,2010 to 2012,2015 to 2017,2000 to 2002,2005 to 2007,2010 to 2012,2015 to 2017
Canada,67.2,68.2,69.4,68.9,69.8,70.6,71.4,70.4
Newfoundland and Labrador,67,65.6,67.1,66.4,69.4,69.3,69.9,66.3
Prince Edward Island,66.3,66.4,68.2,67.6,70.4,69.6,71.9,72.5
Nova Scotia,65.3,65.8,66.9,66.1,68.9,69.6,69.4,69.5
New Brunswick,66.4,67,67.4,67,70.4,70.2,71.2,68.9
Quebec,67.9,68.7,70.2,71.2,71,71,72.6,72
Ontario,67.2,68.4,69.6,68.9,69.2,70.8,70.9,70.1
Manitoba,65.8,67.2,67.3,66.8,69.6,70.3,69.5,67.6
Saskatchewan,66.1,66.3,67.4,66.5,69.1,70,70.1,69
Alberta,66.5,67.8,68.5,68.4,68.7,69.4,70.3,69.4
British Columbia,67.9,68.8,70.3,67.9,70.2,70.6,72.6,71.3
Yukon,63.8,64.6,64.4,65.3,67.4,66.9,66.7,65.6
Northwest Territories,63.4,65.3,66.3,65.3,65.8,64.7,66.6,65.3
Nunavut,54.6,59.2,60.1,60.4,58.7,63.9,64,60.1
